year,ctrycode,resid_roe,resid_int
2017,NE,-2.1610701,-58.143982
2018,NE,-7.1583495,
2020,NE,,
2021,NE,,
2013,NG,-12.815629,-33.989471
2014,NG,-8.9384394,-32.45409
2015,NG,-7.0718646,-32.214546
2016,NG,-6.1385832,-37.260822
2017,NG,-7.3613853,-37.711941
2018,NG,-10.310438,-38.158661
2019,NG,-7.193222,-38.093945
2020,NG,-6.3902593,-38.226841
2021,NG,-6.7567792,-39.196716
2013,NI,-1.4566784,-45.923584
2014,NI,-4.3679123,-43.655159
2015,NI,,
2016,NI,-3.4709949,-44.937645
2017,NI,,
2018,NI,-15.211189,-37.061996
2019,NI,-15.448997,-34.361286
2020,NI,-9.0477877,-31.939159
2021,NI,-3.6104424,-27.107723
2013,NL,-12.956465,13.590493
